	Blissymbolics, world writing
	horizontal
	rectangle
	parallelogram
3	tesseral system
	tesseral (axis perspective)
	rhombic
	cube, box, container, case, tesseral
	quadrangular prism
	pyramid
	cylinder, drum
	cone
	conical
	tin, cylinder
	bag, sack
	bottle
	bottled water
CO2	carbonated water, soda, soda water
	milk
OH	alcohol (bottled)
.	point, pixel
	line, wire
	straight pole, straight rod, straight bar, straight stick, rod, bar, pole, stick
	to straighten
	straight
	self, itself
	other, others, al.
	any other
2	another
	graph, plot
	graphing, plotting
	x axis, x-axis
	y axis, y-axis
	x and y axis, x & y axis
	plane
	plane
	space
	limit, interval, spatial limit
	to repeat, duplicate, to copy
	repeated, repetition
	repeatedly
	repeated it
	will repeat
	again
	limit, limits
	limits, frontiers
	to limit
	limited
	limited
	within, between, during, while
	big, tall, large, bulk
	expansion, vertically increase, larger, zooms, expands
	expanded
	expansion of metals by heat
	small
	contraction
	long, range
	lengthen, stretch, horizontally increase
	long
	the length
m	length in metres
250m	length: 250m, distance: 250m
40km	length: 40km, distance: 40km
	extension, extended
	short
	high, tall, height
	highest, high
	the height, amplitude
	the heights, amplitudes
	much high, quite high
	higher, more high, upper
	highest, most high
	low
	lowest, low
	lower
	lowest
	far
	furthest
	near, about
	local (adjective)
	nearness
	environment
	nearer
	nearest
	as, like, similar, near equal, equivalent to, approximately
	deep
	the deep, abyss, chasm
	deep
	deepen
	deepened
	shallow
	shallow
	wide, broad
	wide
	to widen
	to widen
	to be widened
	the width, size
25cm	width: 25cm
	narrow
	thick
25cm	thickness: 25cm
	thin
	together
	together
	togetherness
	between, within
	agent, go-between
	commission, brokerage
	interjacenoe, interjection
	above, over
	above, over
	to make above
	superiority
	below, under
	before, in front, ago
	after, behind
	in, inside
	in, inside
	to insert, to include, including
	in
	out, outside
	out, outside
	to eject, except
	outsider
	superior man
	inferior man
	broken line
	tool for breaking
	breaker
	breakingly
	brittle, breakable
	broken
	to break
	to break, breaks down
	to be broken
	shall break
	did break
	been broken
	the break
	the breakage
	the break
	the breaking
1	the break
	the breakage
	table, platform, stage
	the table
	tables
	to table
	table top, tabletop
	board-plate
	edge
	edges, fringes (?)
	corner
	leg
	leg end
	joist
	adjustable table
	chair, seat
	the chair
	chairs
	to sit, to seat, sitting
	furniture
	couch, lounge, easy chair
	the lounge
	lounges
	lounge room
	sofa
	bed
	the bed
	beds
	mattress
	headrest, headboard
	bed linen, bedding
	blanket
	blankets
	pillow, cushion
	bed number
	chest of drawers
	chest of drawers
	drawer
	wardrobe
	the wardrobe
	wardrobes
	shelf
	the shelf
	to shelve
	shelves
	window
	the window
	windows
	no leaning out of the window
	punishment, prison window, imprisonment
	prison bars
	will be imprisoned
	prison, gaol
	prisoner, criminal
	criminal, thief, bandit, bushranger
	captive, prisoner (of any kind)
	captive, captivity
	to captivate, to capture
	a captive, a prisoner
	prisoner of war, POW
	escape
	fabric
	to weave
	table cloth
	carpet
	clothes, dress, attire
	clothes for man, menswear
	clothes for woman, women's clothing, womenswear
	clothes for young, children's wear, childrenswear
	clothes for babies, babywear, baby clothes
	against rain
	raincoat
	overcoat
	underwear
	trousers
	socks
	stockings
	shoe
	shirt, life vest
	collar
	towel
	laundry
	hat
	hats
	to wear a hat
	ribbon, band
	tie
	scales, balance, weight
	the scales
	scales (pl)
	to weigh
	to judge, verdict
	judge
12	jury
	bill, law, Act
	lawyer (?), attorney (?)
,	steal, rob, pilfer, loot, sack, plunder, pillage, ransack, burgle, cheat, swindle, defraud
	court
	guilty
	evidence
	decimal scales
	unit of weight
	heavy
	light
	fulcrum
	weight (simplified)
	equal weight
	heavy (colloquial)
	light (colloquial)
1ccm	specific weight
	area, surface
	areas
	volume
	volumes
	density
	friction
	sheave (on a pulley)
	power
	amplifier (?)
	amplifier (electrical symbol)
	amplified (adjective)
	buoyancy
	to make buoyant
	buoyant
	capillarity
	siphon
	hydraulic press and principle
	engineering tolerance, tolerance
	compass
	the compass
	geometry of house
	geometry
2	2-dimensional geometry
	geometry of table
	geometry of table edge
	geometrical shape of table edge: round
	geometry of eye
	iris
	pupil
2	right angled triangle
2	equilateral triangle
2	square
	square
3	cube
	cube
	cube
2	circle
	circle
	circular, disk, plate
	to circle
	circular
	circular, dial
3	sphere
	sphere
	sphere
	spherical, globe, ball, sphere
	rounden
	spherical, round
	ring, rings, chain link
	pipe
	plumber
	hammer
	to hammer, hammering
	hammered, did hammer
	shall hammer
	would hammer
	would have hammered
	would hammer, may hammer
	being hammered
	shall be hammered
	having been hammered
	hammerable
	hammered
	the hammering
	smith, blacksmith
	anvil
	pliers, pair of pliers
	screw
	screwdriver, screw driver
	nail
	to nail
	nail like
	pin
	needle
	to sew, to needle
	needle like
	seamstress
	tailor
	sewing machine
	comb
	comb (with handle)
	brush
	brush (vertical handle)
	brush (with side handle)
	toothbrush
	saw
	circular saw
	iron, press
	spoon
	fork
	small pot, beaker, small container
	pot, handled pot
	handled pot, pot with handles
	pot with water
	vessel with water, pot with water
	pot with liquid, vessel with liquid
	large pan, pan
	small pan
	lid
	teapot
	glass, wine glass, glassware, drink glass
	glass of orange juice
	glass of tomato juice
OH	alcoholic drink, drinks
-OH	soft drinks, cool drinks
	crockery, plate, dish
	serve
	soup
	mincing machine
	hook, hanger
	to hang, hangs
	hung
	right corner
	left corner
	right
	left
	seed, seeds
	steamer, boat, ship, vessel
	to ship, shipping
	sailing ship
	the shipping, the shipment
	ship wreck
	life boat, row boat, rowing boat
	destroyer, warship
	life boat
	life boat number 3
	to stairs and life boat 2
	life jacket, life vest
	life belt
	float
	floating
	afloat
	sail
	pennant
	bow
	fore-deck, forecastle
	stern
	after-deck, quarter-deck
	midships
	bottom
	keel
	funnel
	below deck, inside ship
	embarkation
	disembarkation
	embarkation starting time
	harbour
	wharf, harbour (BPB)
	harbour wharf number 3 (BPB)
	dock
	lock, sluice
	deck number 2
	sailor
3	third officer
1	skipper, captain
1	captain's table
	ship engine
1	first engineer
	steering wheel
	steeringly
	steerable
	steered
	to steer, steering
	to steer (active)
	to be steered
	shall steer
	did steer
	been steered
	the steering (unit of action)
	the steering wheel
	steering room
	boiler room
	stairs
	to climb stairs, to use stairs
	up stairs
	down stairs
	change
	double bend
	toll bar, customs
	customs
	duty, toll, customs duty
	road bridge
	road under repair
	bridge
	to bridge
	United States of America
	Great Britain, The United Kingdom, British
	Australia, Australian
	New Zealand
	France, French
	door
	entrance, IN, reception
	exit, OUT
	curtain
	curtains
	fire exit
	fire stairs
	fire escape
	room, compartment, cabin
	ceiling
	ceiling covering, ceiling
	wall
	wall covering, wallpaper
	corner
	floor
	floor covering
	room open to street, shop front
	shopping centre (BPB)
	room number, cabin number
	bar
	dining room
	cable office
	bath room, bathroom
	shower, shower room
(I)	first class compartment
	men's room, male toilet, room for man, gents
	women's toilet, female toilet, room for ladies, ladies toilet
	room maid, hotel cleaner
	steward
	bedroom
	double bed room
	cabin with 4 beds, 4 bunk room
	no admittance
	lift, elevator
	engine room
	machine, motor
	machines, motors
	electric machine
	duplicator, copier
	photocopier, printing machine
	typewriter
	printer
	computer, processor (?)
	laptop computer (?)
abc	computer keyboard (?)
	computer joystick (? FSBW)
	computer screen (?), display (?)
	computer touch screen (?)
	internet
	pointing device (?)
	mouse (computer FSBW?)
	trackball (?)
	eye tracker, eye mouse (FSBW?)
	mechanic
	wings, to fly, air
	to fly
	flying
	wing
	feather
	feather
	to feather
	aircraft, flying machine
	air-plane, aeroplane, plane
	jet plane, jet
	jumbo jet
	airport
	plane crash
	pilot, flyer, airman
	curved thing, bow
	curved, bent, warped (?)
	to curve, to bend
	around, about
	turn, rotate, gyrate
	turning, rotating, to turn, to dial
1	1 turn
	1 turn, 1 rotation
	have turned
	will turn, shall turn
	the turning, the rotating
1	the turn, the rotation
	jump
	swing
	swinging, oscillating
	overtake
	overtaking
	mixing, mix
	the mixing
	mixer
	mixer
	mixture
	to mix, mixing
	to actively mix, to interfere (?)
	to be mixed, to passively mix
	have mixed, mixed
	would have mixed
	shall mix
	would now mix
	could mix
	a mixture, interference (?)
	mixture like
	mixingly
	mixingly
	mixable
	mixable
	mixed
	mixed
	the mixture likeness
	the mixingness
	the mixability
	the mixedness
	mixed liquid
	circling, circulate
	the circle
	to circle
	will circle
	circled, circling
	wavelength
	frequency (?), band (?)
